"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
157.229996,157.830002,156.779999,157.410004,17000500,155.065399,"2017-10-26","AAPL"
159.289993,163.600006,158.699997,163.050003,44454200,160.621384,"2017-10-27","AAPL"
163.889999,168.070007,163.720001,166.720001,44700800,164.236725,"2017-10-30","AAPL"
167.899994,169.649994,166.940002,169.039993,36046800,166.522171,"2017-10-31","AAPL"
169.869995,169.940002,165.610001,166.889999,33637800,164.40419,"2017-11-01","AAPL"
166.600006,168.5,165.279999,168.110001,41393400,165.606018,"2017-11-02","AAPL"
174,174.259995,171.119995,172.5,59398600,169.930634,"2017-11-03","AAPL"
172.369995,174.990005,171.720001,174.25,35026300,171.654556,"2017-11-06","AAPL"
173.910004,175.25,173.600006,174.809998,24361500,172.206223,"2017-11-07","AAPL"
174.660004,176.240005,174.330002,176.240005,24409500,173.614929,"2017-11-08","AAPL"
175.110001,176.100006,173.139999,175.880005,29482600,173.2603,"2017-11-09","AAPL"
175.110001,175.380005,174.270004,174.669998,25145500,172.686859,"2017-11-10","AAPL"
173.5,174.5,173.399994,173.970001,16982100,171.994812,"2017-11-13","AAPL"
173.039993,173.479996,171.179993,171.339996,24782500,169.394669,"2017-11-14","AAPL"
169.970001,170.320007,168.380005,169.080002,29158100,167.160339,"2017-11-15","AAPL"
171.179993,171.869995,170.300003,171.100006,23637500,169.15741,"2017-11-16","AAPL"
171.039993,171.389999,169.639999,170.149994,21899500,168.218185,"2017-11-17","AAPL"
170.289993,170.559998,169.559998,169.979996,16262400,168.05011,"2017-11-20","AAPL"
170.779999,173.699997,170.779999,173.139999,25131300,171.174255,"2017-11-21","AAPL"
173.360001,175,173.050003,174.960007,25588900,172.973587,"2017-11-22","AAPL"
175.100006,175.5,174.649994,174.970001,14026700,172.983475,"2017-11-24","AAPL"
175.050003,175.080002,173.339996,174.089996,20716800,172.113464,"2017-11-27","AAPL"
174.300003,174.869995,171.860001,173.070007,26428800,171.105042,"2017-11-28","AAPL"
172.630005,172.919998,167.160004,169.479996,41666400,167.555801,"2017-11-29","AAPL"
170.429993,172.139999,168.440002,171.850006,41527200,169.898895,"2017-11-30","AAPL"
169.949997,171.669998,168.5,171.050003,39759300,169.107971,"2017-12-01","AAPL"
172.479996,172.619995,169.630005,169.800003,32542400,167.872177,"2017-12-04","AAPL"
169.059998,171.520004,168.399994,169.639999,27350200,167.713974,"2017-12-05","AAPL"
167.5,170.199997,166.460007,169.009995,28560000,167.091141,"2017-12-06","AAPL"
169.029999,170.440002,168.910004,169.320007,25673300,167.397629,"2017-12-07","AAPL"
170.490005,171,168.820007,169.369995,23355200,167.447037,"2017-12-08","AAPL"
169.199997,172.889999,168.789993,172.669998,35273800,170.709595,"2017-12-11","AAPL"
172.149994,172.389999,171.460007,171.699997,19409200,169.750595,"2017-12-12","AAPL"
172.5,173.539993,172,172.270004,23818400,170.314117,"2017-12-13","AAPL"
172.399994,173.130005,171.649994,172.220001,20476500,170.264694,"2017-12-14","AAPL"
173.630005,174.169998,172.460007,173.970001,40169300,171.994812,"2017-12-15","AAPL"
174.880005,177.199997,174.860001,176.419998,29421100,174.417007,"2017-12-18","AAPL"
175.029999,175.389999,174.089996,174.539993,27436400,172.55835,"2017-12-19","AAPL"
174.869995,175.419998,173.25,174.350006,23475600,172.370514,"2017-12-20","AAPL"
174.169998,176.020004,174.100006,175.009995,20949900,173.023026,"2017-12-21","AAPL"
174.679993,175.419998,174.5,175.009995,16349400,173.023026,"2017-12-22","AAPL"
170.800003,171.470001,169.679993,170.570007,33185500,168.633423,"2017-12-26","AAPL"
170.100006,170.779999,169.710007,170.600006,21498200,168.663101,"2017-12-27","AAPL"
171,171.850006,170.479996,171.080002,16480200,169.13765,"2017-12-28","AAPL"
170.520004,170.589996,169.220001,169.229996,25999900,167.30864,"2017-12-29","AAPL"
170.160004,172.300003,169.259995,172.259995,25555900,170.30423,"2018-01-02","AAPL"
172.529999,174.550003,171.960007,172.229996,29517900,170.274567,"2018-01-03","AAPL"
172.539993,173.470001,172.080002,173.029999,22434600,171.065506,"2018-01-04","AAPL"
173.440002,175.369995,173.050003,175,23660000,173.013123,"2018-01-05","AAPL"
174.350006,175.610001,173.929993,174.350006,20567800,172.370514,"2018-01-08","AAPL"
174.550003,175.059998,173.410004,174.330002,21584000,172.350739,"2018-01-09","AAPL"
173.160004,174.300003,173,174.289993,23959900,172.311188,"2018-01-10","AAPL"
174.589996,175.490005,174.490005,175.279999,18667700,173.289948,"2018-01-11","AAPL"
176.179993,177.360001,175.649994,177.089996,25418100,175.079391,"2018-01-12","AAPL"
177.899994,179.389999,176.139999,176.190002,29565900,174.189636,"2018-01-16","AAPL"
176.149994,179.25,175.070007,179.100006,33888500,177.066589,"2018-01-17","AAPL"
179.369995,180.100006,178.25,179.259995,31193400,177.224762,"2018-01-18","AAPL"
178.610001,179.580002,177.410004,178.460007,32425100,176.433853,"2018-01-19","AAPL"
177.300003,177.779999,176.600006,177,27108600,174.990433,"2018-01-22","AAPL"
177.300003,179.440002,176.820007,177.039993,32689100,175.029968,"2018-01-23","AAPL"
177.25,177.300003,173.199997,174.220001,51105100,172.241974,"2018-01-24","AAPL"
174.509995,174.949997,170.529999,171.110001,41529000,169.167297,"2018-01-25","AAPL"
172,172,170.059998,171.509995,39143000,169.562744,"2018-01-26","AAPL"
170.160004,170.160004,167.070007,167.960007,50640400,166.053055,"2018-01-29","AAPL"
165.529999,167.369995,164.699997,166.970001,46048200,165.074295,"2018-01-30","AAPL"
166.869995,168.440002,166.5,167.429993,32478900,165.529068,"2018-01-31","AAPL"
167.169998,168.619995,166.759995,167.779999,47230800,165.875092,"2018-02-01","AAPL"
166,166.800003,160.100006,160.5,86593800,158.67775,"2018-02-02","AAPL"
159.100006,163.880005,156,156.490005,72738500,154.713287,"2018-02-05","AAPL"
154.830002,163.720001,154,163.029999,68243800,161.179016,"2018-02-06","AAPL"
163.089996,163.399994,159.070007,159.539993,51608600,157.728638,"2018-02-07","AAPL"
160.289993,161,155.029999,155.149994,54390500,153.388489,"2018-02-08","AAPL"
157.070007,157.889999,150.240005,156.410004,70672600,155.264664,"2018-02-09","AAPL"
158.5,163.889999,157.509995,162.710007,60819500,161.518524,"2018-02-12","AAPL"
161.949997,164.75,161.649994,164.339996,32549200,163.136581,"2018-02-13","AAPL"
163.039993,167.539993,162.880005,167.369995,40644900,166.144394,"2018-02-14","AAPL"
169.789993,173.089996,169,172.990005,51147200,171.723251,"2018-02-15","AAPL"
172.360001,174.820007,171.770004,172.429993,40176100,171.167343,"2018-02-16","AAPL"
172.050003,174.259995,171.419998,171.850006,33930500,170.591599,"2018-02-20","AAPL"
172.830002,174.119995,171.009995,171.070007,37471600,169.817307,"2018-02-21","AAPL"
171.800003,173.949997,171.710007,172.5,30991900,171.236832,"2018-02-22","AAPL"
173.669998,175.649994,173.539993,175.5,33812400,174.214859,"2018-02-23","AAPL"
176.350006,179.389999,176.210007,178.970001,38162200,177.659454,"2018-02-26","AAPL"
179.100006,180.479996,178.160004,178.389999,38928100,177.08371,"2018-02-27","AAPL"
179.259995,180.619995,178.050003,178.119995,37782100,176.815674,"2018-02-28","AAPL"
178.539993,179.779999,172.660004,175,48802000,173.718521,"2018-03-01","AAPL"
172.800003,176.300003,172.449997,176.210007,38454000,174.919678,"2018-03-02","AAPL"
175.210007,177.740005,174.520004,176.820007,28401400,175.525208,"2018-03-05","AAPL"
